	User	Histories	Behaviors
1722	U1722	B24400 B110365 B118224	B92610-0 B202964-0 B13449-0 B3203-0 B104381-0 B192408-0 B75799-0 B4133-0 B77773-0 B36406-0 B101980-0 B73585-0 B174803-0 B152582-0 B147615-0 B111166-0 B81499-0 B11058-0 B42495-0 B186656-0
1723	U1723	B36068 B145207 B107652 B59310	B69114-0 B176575-0 B149586-0 B112054-0 B3052-0 B118934-0 B168427-0 B74850-0 B173548-0 B37353-0 B197659-0 B63427-0 B50581-0 B86320-0 B138982-0 B152965-0 B168793-0 B24460-0 B184375-0 B111568-0
1724	U1724	B1306 B114711 B143419 B179168	B84083-0 B58873-0 B64532-0 B52158-0 B97811-0 B101643-0 B54228-0 B145986-0 B84517-0 B187905-0 B152977-0 B181584-0 B72125-0 B100937-0 B22957-0 B185148-0 B205080-0 B203041-0 B112743-0 B112498-0
1725	U1725	B153970 B143550 B40110 B166344	B34319-0 B550-0 B95654-0 B36216-0 B165174-0 B37252-0 B44254-0 B646-0 B17043-0 B148376-0 B67952-0 B42917-0 B54408-0 B111837-0 B36816-0 B194798-0 B71716-0 B12435-0 B195983-0 B27792-0
1726	U1726		
1727	U1727	B39783 B138277 B65103 B136222 B24228 B201290	B18802-0 B98015-0 B190894-0 B32466-0 B81580-0 B192027-0 B191279-0 B198818-0 B61175-0 B6875-0 B27026-0 B149887-0 B154317-0 B95030-0 B135055-0 B195898-0 B8613-0 B31078-0 B199718-0 B46846-0
1729	U1729	B62516 B99414 B188199 B13879 B192831	B164810-0 B18248-0 B128017-0 B7752-1 B100962-0 B205308-0 B119481-0 B192643-0 B74137-0 B186656-0 B141194-0 B127670-0 B814-0 B38774-0 B157582-0 B23262-1 B176989-0 B48763-0 B187357-0 B11807-0
1730	U1730	B64243 B161704 B150777	B109706-0 B112375-0 B34920-0 B46486-0 B191149-0 B122269-0 B89638-0 B58953-0 B52838-0 B34987-0 B134734-0 B52417-0 B41525-0 B101159-0 B134374-0 B197827-0 B117649-0 B50062-0 B146566-0 B49477-0
1731	U1731		
1732	U1732	B147960 B159763 B169160	B65506-0 B138758-0 B30897-0 B195811-0 B46386-0 B185311-0 B102980-0 B53185-0 B142591-0 B127520-0 B10260-0 B141159-1 B140375-0 B69143-0 B71714-0 B115687-0 B4177-0 B88303-0 B168578-0 B4936-0
1733	U1733	B153311 B161995 B114457 B78932	B35937-0 B32325-0 B128249-0 B148287-0 B99102-0 B147055-0 B26951-0 B10750-0 B48370-0 B68321-0 B112215-0 B103776-0 B178296-0 B2166-0 B21723-0 B54487-0 B105031-0 B56207-0 B136911-0 B196703-0
1734	U1734	B115050 B120198 B28504	B76650-0 B144087-0 B12225-0 B152509-0 B197064-1 B202177-0 B129640-0 B33962-0 B196614-0 B153049-0 B140078-0 B113738-0 B203041-1 B56979-0 B208571-0 B144560-0 B168547-0 B39570-0 B40573-0 B12793-0
1735	U1735	B26174 B129641 B203969	B113083-0 B172040-0 B182679-0 B21634-0 B160414-0 B55215-0 B200275-0 B196595-0 B59308-0 B114268-0 B11661-0 B164511-1 B137968-0 B87928-0 B167769-0 B90814-0 B103146-0 B110872-0 B185030-0 B31522-1
1736	U1736	B203234 B171064 B22856 B99209 B98606 B26382 B51290	B160845-0 B17205-0 B88790-0 B99133-0 B201708-0 B164202-0 B6930-0 B68641-0 B98560-0 B195008-0 B26996-0 B3059-0 B150896-0 B62119-0 B122947-0 B84356-0 B7444-0 B141551-0 B11838-0 B48268-0
1737	U1737	B112645	B189266-0 B158758-0 B22743-0 B103776-0 B40176-0 B189661-0 B61460-0 B38914-0 B193778-0 B199878-0 B135749-0 B140627-0 B132564-0 B44545-0 B157998-0 B110053-0 B108279-0 B106705-0 B59527-0 B178154-0
1738	U1738	B210827 B109253 B124128 B99000	B193957-0 B165076-0 B147227-0 B34948-0 B128814-0 B14207-0 B49154-0 B9612-0 B40497-0 B14033-0 B70927-0 B12225-0 B139117-0 B28996-0 B157736-0 B176286-0 B122471-0 B115692-0 B152447-0 B153888-0
1739	U1739	B184838 B196118 B78132 B149601 B50032	B131088-0 B97701-0 B190768-0 B24877-0 B122667-0 B68435-0 B188423-0 B37117-0 B122913-0 B80140-0 B154633-0 B157816-0 B81236-0 B121801-0 B59785-0 B148026-0 B550-0 B10793-0 B17513-0 B201424-0
1740	U1740	B69698 B194467 B122286 B47978 B49434 B126145	B109510-0 B78366-0 B15328-0 B142843-0 B207350-0 B196045-0 B138917-0 B179395-1 B5369-0 B202936-0 B30451-0 B198253-0 B11327-0 B82284-0 B48119-0 B166424-0 B127293-0 B69490-0 B92858-0 B162429-0
1741	U1741	B164160 B147982 B55508 B38509	B152578-0 B27394-0 B192529-0 B20050-0 B20648-0 B108206-0 B23048-0 B65031-0 B204550-0 B134281-0 B25435-0 B139080-0 B14141-0 B25333-0 B167834-0 B129673-0 B101626-0 B9892-0 B183224-0 B143687-0
1742	U1742	B43236 B186258 B61045 B145124	B210489-0 B110388-0 B127471-0 B138751-0 B28065-0 B5006-0 B102990-0 B129452-0 B171947-0 B172554-0 B5191-0 B109012-0 B40329-0 B77358-0 B194463-0 B76558-0 B7033-0 B164903-0 B63615-0 B135185-0
1743	U1743	B160929 B44947 B131053	B106754-0 B13807-0 B31579-0 B150933-0 B24877-0 B101586-0 B143775-0 B11830-0 B117525-0 B77690-0 B134686-0 B37937-0 B122883-0 B18535-0 B68409-0 B61022-0 B81881-0 B102078-0 B21948-0 B198187-0
1744	U1744	B19533 B151860 B193826 B174404	B84202-0 B49113-0 B76712-0 B178850-0 B10112-0 B62466-0 B24424-0 B54085-0 B141332-0 B76571-0 B97687-0 B6836-0 B95230-0 B7715-0 B135854-0 B169744-0 B118276-0 B5064-0 B177351-0 B111726-0
1745	U1745	B2873 B168433 B185305 B123289 B168468 B21706	B104470-0 B143421-0 B27900-0 B64532-0 B146701-0 B57100-0 B47802-0 B107038-0 B79080-0 B195014-0 B100163-0 B171007-0 B189654-0 B11194-0 B15719-0 B12435-0 B141973-0 B163826-0 B38116-0 B137004-0
1746	U1746	B16901 B146231 B154417 B133308 B21594 B50538 B193374 B52158 B146189 B39767 B121952	B109852-0 B2974-0 B15714-0 B49861-0 B135983-1 B141259-0 B26059-1 B212192-1 B97133-1 B61784-1 B112620-0 B11400-0 B153660-0 B27361-0 B166407-0 B185393-1 B10158-0 B154567-1 B95755-0 B173939-1
1747	U1747		
1748	U1748	B57272 B2017 B25216 B113083 B98822 B135987 B57086 B127104	B208762-0 B61029-0 B58918-0 B37252-0 B9459-0 B103070-0 B20482-0 B100134-0 B21950-0 B184829-1 B48600-0 B38488-0 B117487-0 B129647-0 B48702-0 B104555-0 B199154-0 B39020-0 B143990-0 B91138-0
1749	U1749	B72737 B78132 B130100 B168244	B51716-0 B140503-0 B92120-0 B57272-0 B196539-0 B109852-0 B170568-0 B33097-0 B139661-0 B70154-0 B161850-0 B204357-0 B27898-0 B127004-0 B119570-0 B211135-0 B193354-0 B82641-0 B20902-0 B75915-0
1750	U1750	B12945 B110365 B120053 B91993 B184232 B78119 B158735 B183784	B92458-0 B45858-0 B1631-0 B865-0 B178747-0 B194920-0 B98831-0 B108320-0 B7486-0 B112720-0 B140511-0 B7033-0 B42218-0 B169057-0 B179189-0 B11371-0 B173039-0 B36158-0 B122584-0 B140338-0
1751	U1751	B17778 B46839 B112720 B188665 B29751 B166365 B117053 B71885 B183693 B153992 B20895 B207877 B23842 B115155 B22991	B60611-0 B133395-0 B8613-0 B150937-0 B8394-0 B39485-0 B125822-0 B201747-0 B191604-0 B142688-0 B120153-0 B136111-0 B143199-0 B122434-0 B170168-0 B85453-0 B55328-0 B57032-0 B158030-0 B149558-0
1752	U1752	B133575 B102211 B101619 B145797 B108748	B191777-0 B65214-0 B128211-0 B203183-0 B37032-0 B209300-0 B171180-0 B128618-0 B98999-0 B193334-0 B156564-0 B180025-0 B56731-0 B27215-0 B47435-0 B44187-0 B193374-0 B63948-0 B180399-0 B112885-0
1753	U1753	B41333 B113806 B192643 B89302 B174965 B103249 B22280	B134636-0 B48055-0 B135054-0 B171786-0 B144624-0 B133445-0 B47321-0 B203985-0 B13687-0 B106611-0 B38385-0 B36605-0 B180496-0 B172828-0 B183672-0 B69307-0 B40689-0 B100237-0 B87857-0 B44727-0
1754	U1754	B191371 B38385 B186408 B13721	B107159-0 B78827-0 B70679-0 B52915-0 B170941-0 B149177-0 B75183-0 B96997-0 B54671-0 B6746-0 B5240-0 B87682-0 B149633-0 B77843-0 B145737-0 B154586-0 B36090-0 B111967-0 B150777-0 B35203-0
1755	U1755	B104772 B104798 B149464 B32597 B34933 B169151 B153355	B19631-0 B86901-0 B179899-0 B130896-0 B63824-0 B6346-0 B109992-0 B162254-0 B119282-0 B76883-0 B114209-0 B53840-0 B204077-0 B25610-0 B7287-0 B58203-0 B28738-0 B195811-0 B155731-0 B9159-0
1756	U1756	B194562 B27796	B145286-0 B191191-0 B14130-0 B22339-0 B144089-0 B45973-0 B182433-0 B152646-0 B119427-0 B69749-0 B76575-0 B126852-0 B143692-0 B170418-0 B38464-0 B9053-0 B161241-0 B61368-0 B210306-0 B135996-0
1757	U1757	B104333	B46867-0 B15532-0 B79752-0 B174492-0 B52697-0 B24400-0 B186383-0 B3208-0 B110365-0 B62340-0 B100709-0 B95853-0 B16070-0 B26524-0 B46376-0 B150356-0 B73531-0 B12249-0 B39753-0 B119866-0
1758	U1758	B16298 B153663 B185773 B185399	B62503-0 B185147-0 B161586-0 B48694-0 B97831-0 B34701-0 B46482-0 B122096-0 B96104-0 B10762-0 B61178-0 B179869-0 B176286-0 B47107-0 B26854-0 B196949-0 B191011-0 B198976-0 B123429-0 B201910-0
1759	U1759	B179068 B25335 B96747	B150556-0 B207264-0 B169346-0 B196949-0 B117979-0 B174532-0 B18619-0 B41308-0 B33153-0 B46486-1 B67180-0 B184369-0 B156882-0 B142592-0 B82154-0 B30223-0 B136540-0 B143492-0 B182022-0 B164476-0
1760	U1760	B163787	B112215-0 B69384-0 B2860-0 B171141-0 B133173-0 B67923-0 B60239-0 B97383-0 B149586-0 B135232-0 B42615-0 B136540-0 B188185-0 B147822-0 B67832-0 B25529-0 B182554-0 B38882-0 B146835-0 B167533-0
1762	U1762	B1344 B100471 B182216	B16811-0 B7602-0 B107689-0 B113460-0 B168244-0 B22980-0 B70904-0 B63898-0 B2703-0 B206237-0 B53045-0 B123237-0 B8534-0 B46317-0 B144113-0 B41473-0 B1659-0 B2557-0 B60417-0 B209938-0
1763	U1763	B61737 B47993 B78091 B81688 B75804	B211020-0 B3325-0 B97041-0 B94441-0 B112498-0 B205920-0 B154055-0 B160317-0 B147816-0 B152578-0 B9110-0 B62936-0 B198944-0 B105122-1 B85453-0 B138688-0 B154138-0 B42801-0 B170418-0 B92584-0
1764	U1764	B33329 B12989 B182216 B170868 B122269	B11070-0 B31043-0 B145421-0 B131516-0 B5125-0 B174803-0 B147982-0 B143457-0 B132987-0 B110975-0 B97545-0 B102059-0 B39880-0 B122060-0 B99848-1 B182586-1 B164938-0 B77773-0 B158339-0 B190894-0
1765	U1765	B4418 B109756 B137826 B47926 B176359 B122936 B177587 B202456	B180247-0 B139011-0 B129429-0 B189806-0 B110794-0 B135524-0 B13879-1 B59223-0 B165930-0 B162453-0 B110637-0 B34785-0 B45685-0 B162218-0 B25601-0 B131376-0 B156397-0 B94007-1 B28234-0 B43078-0
1766	U1766	B84590 B161669 B10568 B163505	B183758-0 B64593-0 B172554-0 B19204-0 B55983-0 B146519-0 B191527-0 B55121-0 B104917-0 B209300-0 B172358-0 B85732-0 B89815-0 B15163-0 B145002-0 B149119-0 B138870-0 B74067-0 B109976-0 B113083-0
1767	U1767		
1768	U1768	B126074 B51928 B152738 B162820	B177128-0 B136977-0 B157493-0 B179292-0 B166121-0 B58322-0 B37680-0 B89815-0 B58888-0 B34716-0 B170508-0 B21594-0 B146354-0 B7260-0 B111520-0 B163074-0 B170778-0 B29951-0 B15376-0 B141-0
1769	U1769	B43770 B133521 B19007 B163030 B92578 B27705 B187456 B23092	B8860-0 B148458-0 B58345-0 B135173-0 B169518-0 B15185-0 B172438-0 B99805-0 B2166-0 B156320-0 B91654-0 B134405-0 B71069-0 B183523-0 B111697-0 B146243-0 B75775-0 B182536-0 B80016-0 B48199-0
1770	U1770		
1771	U1771	B71675 B96659 B96997 B158143	B112988-0 B11138-0 B153322-0 B16117-0 B138427-0 B68903-0 B22743-0 B143692-0 B42058-0 B160173-0 B87769-0 B154003-0 B194379-0 B48261-0 B28239-0 B9843-0 B97142-0 B104347-0 B74932-0 B125564-0
1772	U1772	B246 B61571 B14033 B4383	B169810-0 B163847-0 B191192-0 B104542-0 B74417-0 B5088-0 B7977-0 B188723-0 B133391-0 B121333-0 B175151-0 B11400-0 B154138-0 B76704-0 B62633-0 B62856-0 B108315-0 B153794-0 B77349-0 B109809-0
1773	U1773		
1774	U1774	B166424 B130610 B113653	B8977-0 B107843-0 B25622-0 B183634-0 B93301-0 B11930-0 B55607-0 B118124-0 B165930-0 B37764-0 B105371-0 B115936-0 B68852-0 B65803-0 B162133-0 B38274-0 B72295-0 B38541-0 B53633-0 B183352-0
1775	U1775	B59495 B134843 B186258 B149464	B190768-0 B207877-0 B45973-0 B37314-0 B32265-0 B48348-0 B58584-0 B205455-0 B62325-0 B11967-0 B175823-0 B48888-0 B60063-0 B125348-0 B21164-0 B9865-0 B40176-0 B45674-0 B10283-0 B9299-0
1776	U1776	B52541 B207285 B140982 B149558	B117979-0 B139880-0 B117237-0 B62892-0 B63364-0 B188158-0 B19641-0 B194222-0 B90171-0 B180855-0 B175603-0 B163539-0 B65045-0 B131279-0 B45767-0 B87531-0 B48879-0 B11110-0 B120367-0 B178949-0
1777	U1777	B188674 B173753 B87974 B142591	B177234-0 B191019-0 B198611-0 B30088-0 B119770-0 B193867-0 B168220-0 B79791-0 B111171-0 B25268-0 B156000-0 B70648-0 B37179-0 B10569-0 B117031-0 B209909-0 B193883-0 B37865-0 B13711-0 B36219-0
1778	U1778	B139638 B20954 B202621 B45223 B164935 B1654	B169549-0 B183784-0 B138812-0 B65522-0 B16028-0 B94812-0 B81497-0 B160705-0 B47377-0 B95721-0 B81499-0 B187345-0 B186462-0 B27796-0 B179782-0 B158610-0 B93385-0 B89815-0 B133724-0 B121383-0
1779	U1779	B212288 B33644 B178607 B146768 B19374 B204070 B208467	B130784-0 B120153-0 B146243-0 B143530-0 B193883-0 B16911-0 B131252-0 B54342-0 B59549-0 B125359-0 B79880-0 B79294-0 B87424-0 B37936-0 B6028-0 B33097-0 B141588-0 B7496-0 B53185-0 B203616-0
1780	U1780	B72646 B165577 B47965 B4844 B6939 B58757 B43105 B166407 B64033 B96997 B10568 B153355 B15017 B143530 B196457 B49477 B49699 B11967 B186136 B82913 B146078 B31196 B12140 B186570 B198480 B159744 B124718 B104542 B97816 B38135	B24097-0 B126214-0 B41407-0 B104468-0 B42051-0 B118973-0 B198508-0 B134593-0 B208453-0 B145694-0 B156172-0 B98969-0 B96886-0 B76820-0 B22734-0 B37107-0 B40952-0 B210991-0 B121260-0 B133407-0
1781	U1781	B192890 B126207 B21159 B170878 B83824 B44252 B208518 B156227	B106648-0 B198943-1 B72810-0 B202456-0 B181405-0 B59834-0 B112138-0 B163074-0 B158405-0 B105148-0 B156146-0 B37865-0 B209756-0 B171684-0 B46344-0 B171176-0 B186056-0 B136111-0 B166568-0 B74732-0
1782	U1782	B198641 B130736 B137190 B116740 B171064 B166622 B101055	B62752-0 B155177-0 B185302-0 B203985-0 B150366-0 B153193-0 B59479-0 B139905-0 B42763-0 B136118-0 B26209-0 B200938-0 B37392-0 B191869-0 B118150-0 B36225-0 B80262-0 B144419-0 B11354-0 B77383-0
1783	U1783	B162380 B111972	B64964-0 B96936-0 B47321-0 B13350-0 B143775-0 B64226-0 B100879-0 B41991-0 B206301-0 B208536-0 B118926-0 B121309-0 B133399-0 B184185-0 B31223-0 B59886-0 B29272-0 B40520-0 B201385-0 B120228-0
1784	U1784	B22280 B160168 B130610 B93204	B151771-0 B194577-0 B18372-0 B109814-0 B96070-0 B198275-0 B180483-0 B193567-0 B3580-0 B149586-0 B72398-0 B162453-0 B186456-0 B78591-0 B190862-0 B174718-0 B71716-0 B49054-0 B201267-0 B28213-0
1785	U1785	B205730 B4418 B23005 B179731	B71937-0 B179869-0 B193090-0 B190764-0 B211530-0 B202936-0 B12244-0 B152455-0 B118502-0 B118713-0 B98831-0 B139461-0 B103011-0 B142142-0 B70066-0 B187357-0 B182776-0 B129236-0 B193778-0 B74375-0
1786	U1786	B154998 B172942 B163095 B98560	B166158-0 B92971-0 B149651-0 B138849-0 B24608-0 B170279-0 B24182-0 B134549-0 B82923-0 B144607-0 B105229-0 B206130-0 B22075-0 B110053-0 B116497-0 B82278-0 B163341-0 B50229-0 B114860-0 B70330-0
1787	U1787		
1788	U1788	B46936 B194161	B149523-0 B127004-0 B20340-0 B186421-0 B171635-0 B121341-0 B65321-0 B44294-0 B125537-0 B9159-0 B59303-0 B3564-0 B2795-0 B48263-0 B29993-0 B33024-0 B10135-0 B14044-0 B124577-0 B207697-0
1789	U1789	B10258 B122286 B28972 B121147	B77981-0 B165087-0 B175119-0 B161690-0 B116903-0 B173311-0 B113083-0 B100974-0 B208839-0 B186481-0 B187607-0 B126126-0 B155630-0 B164903-0 B97650-0 B22190-0 B196828-1 B78091-0 B112421-0 B132670-1
1790	U1790	B192529 B70043 B123720 B128001	B160169-0 B28972-0 B141100-0 B18633-0 B115687-0 B127937-0 B85703-0 B190541-0 B188554-0 B193441-0 B71775-0 B205095-0 B117204-0 B84356-0 B81472-0 B166450-0 B180744-0 B158735-0 B155630-0 B90489-0
1792	U1792	B48998 B51331 B89352 B205419 B116888 B176359 B106612	B15742-0 B125677-0 B157014-0 B107125-0 B26924-0 B155905-0 B104333-0 B48569-0 B131965-0 B173511-0 B96741-0 B40573-0 B78214-0 B111334-0 B158602-0 B29701-0 B58888-0 B148353-0 B89434-0 B192601-0
1793	U1793	B116270 B35047 B14157 B118031 B17043 B20264	B139861-0 B164420-0 B180399-0 B115692-0 B78833-0 B100584-0 B97579-0 B39638-0 B188861-0 B100473-0 B204492-0 B73169-0 B171446-0 B138975-0 B204087-0 B16361-0 B187352-0 B80021-0 B6111-0 B83834-0
1794	U1794	B126642 B27884 B187119 B97816 B39611 B3130 B134806 B13807 B166097 B161605	B126822-0 B86864-0 B78846-0 B87767-0 B160806-0 B201176-0 B11457-0 B74548-0 B95233-0 B87633-0 B22227-0 B144491-0 B31628-0 B50339-0 B186234-0 B5267-0 B15719-0 B191548-0 B154417-0 B33714-0
1795	U1795	B28012 B100246 B23564	B156030-0 B198490-0 B27349-0 B151531-0 B158107-0 B94546-0 B26003-0 B125600-0 B69795-0 B186570-0 B210405-0 B107176-0 B185912-0 B125604-0 B6915-0 B81244-0 B47049-0 B194463-0 B153411-0 B190598-0
1796	U1796	B126145 B191527 B106266 B14859 B103814	B162844-0 B111171-0 B112366-0 B116074-0 B177976-0 B42288-0 B158169-0 B142700-0 B191249-0 B57498-0 B6481-0 B159898-0 B87928-0 B69114-0 B132299-0 B136811-0 B83227-0 B122855-0 B57567-0 B166344-0
1797	U1797	B101518 B62633 B120526 B27494 B211657 B50707	B113274-0 B122250-0 B162221-0 B203985-0 B66516-0 B114983-0 B19706-0 B72888-0 B130809-0 B112967-0 B185218-0 B110135-0 B75686-0 B7444-0 B23938-0 B121333-0 B138548-0 B132568-1 B109332-0 B59667-0
1798	U1798	B83933 B11880 B87857	B191577-0 B102357-0 B193401-0 B94730-0 B15241-0 B45920-0 B2310-0 B179111-0 B69672-0 B48819-0 B86858-0 B24424-0 B208453-0 B198611-0 B164938-0 B188793-0 B70281-0 B61634-0 B100912-0 B155459-0
1799	U1799	B109253 B66120 B110345	B55406-0 B158758-0 B102078-0 B122267-0 B147816-0 B145926-0 B36513-0 B7107-0 B152288-0 B102924-0 B204701-0 B95911-0 B188459-0 B28542-0 B174748-0 B5240-0 B37429-0 B124610-0 B126468-0 B39753-0
1800	U1800	B36302 B119823 B113460	B129214-0 B155735-0 B67923-0 B120880-0 B12240-0 B48468-0 B49171-0 B166600-0 B125903-0 B177244-1 B25216-1 B110975-0 B18545-0 B77143-0 B150506-0 B147792-0 B15719-0 B132377-0 B187497-0 B189182-0
1801	U1801	B164936 B149152 B191746 B55861 B97103 B164810 B24784 B28972 B56569 B114166 B22751 B124890	B179332-0 B103922-0 B131059-0 B96682-0 B29697-1 B32167-0 B35659-0 B191201-0 B105179-0 B6687-0 B177518-0 B99657-0 B75300-0 B119132-0 B71186-0 B131528-0 B143923-0 B105887-0 B113025-1 B25837-0
1802	U1802	B39778 B14074 B85138	B9865-0 B165602-0 B175481-0 B85488-0 B94122-0 B149684-0 B166803-0 B191968-0 B199615-0 B55005-0 B141332-0 B195679-0 B90224-0 B36631-0 B177587-0 B56979-0 B127439-0 B65877-0 B54227-0 B7904-0
1803	U1803	B67227 B184369 B60646 B116669 B1306 B90136 B205080 B29697 B56256 B183383 B121383 B10225 B93223 B165537	B154567-0 B100029-0 B45900-0 B25002-0 B202810-0 B145099-0 B200950-0 B189360-0 B101325-0 B59043-0 B113671-0 B8326-0 B71629-0 B146768-0 B59838-0 B171746-0 B134549-0 B123324-0 B118633-0 B12958-0
1804	U1804	B49154 B212261 B87974	B159710-0 B192518-0 B153695-0 B152645-0 B2392-0 B31401-0 B73574-0 B106372-0 B122899-0 B107843-0 B67718-0 B85703-0 B2860-0 B92807-0 B100623-0 B25011-0 B109122-0 B20327-0 B91014-0 B113191-0
1805	U1805	B138854 B168252 B206489 B118303 B89815 B152455 B183481 B19661	B53716-0 B33622-0 B138899-0 B191911-0 B38986-0 B101032-0 B184420-0 B169320-0 B18034-0 B94180-0 B123866-0 B45653-1 B53835-0 B142688-0 B120074-0 B167834-0 B15998-0 B90119-0 B186792-0 B136835-0
1806	U1806	B103398 B60239 B61346 B136803 B114225	B170418-0 B209012-0 B126969-0 B164729-0 B22309-0 B45131-0 B173511-0 B30671-0 B34648-0 B104767-0 B48847-0 B184413-0 B510-0 B26871-0 B60542-0 B149625-0 B1570-0 B206400-0 B76658-0 B170475-0
1807	U1807	B188759 B1624 B196209 B84036 B144795	B158215-0 B72737-0 B184709-0 B154077-0 B139423-0 B204678-0 B186148-0 B149607-0 B209756-0 B209625-0 B104997-0 B19730-0 B28131-0 B196465-0 B160708-0 B19195-0 B44439-0 B84356-0 B110068-0 B142637-0
1808	U1808	B166344 B25744 B12235 B52475 B5692 B61611 B130480	B132420-0 B132-0 B17410-0 B193688-0 B126729-0 B186602-0 B116263-0 B17552-0 B33523-0 B106628-0 B138786-0 B172322-0 B129553-0 B25218-0 B138313-0 B5112-0 B149607-0 B164440-0 B169886-0 B92971-0
1809	U1809	B87237 B100897 B191548 B51004 B96802 B12793	B68526-0 B47964-0 B145578-0 B52697-0 B151551-0 B131334-0 B136298-0 B481-0 B47965-0 B93301-0 B26003-0 B7337-0 B160390-0 B123363-0 B36605-0 B10648-0 B63887-0 B163008-0 B96781-0 B6754-0
1810	U1810	B123589 B201395 B190616	B75313-0 B12976-0 B47888-0 B184346-0 B11198-0 B170163-0 B210438-0 B111837-0 B76276-0 B76029-0 B64920-0 B52807-0 B45900-0 B98044-0 B3623-0 B150841-0 B143500-0 B51508-0 B110015-0 B179409-0
1811	U1811	B47992 B62466 B37924 B38536 B182568 B8977 B138277 B128201	B208523-0 B194459-0 B37791-0 B95490-0 B206727-0 B51282-0 B55555-0 B64429-0 B83681-0 B92304-0 B96682-0 B132987-0 B102767-0 B106580-0 B2407-0 B189979-0 B45882-0 B113290-0 B179097-0 B123870-0
1812	U1812	B19378 B140815 B11954 B152505	B37495-0 B27873-0 B146754-0 B48340-0 B69442-0 B137190-0 B37378-0 B1555-0 B15396-0 B100471-0 B29284-0 B114209-0 B1576-0 B48888-0 B173200-0 B36488-0 B59104-0 B158870-0 B66131-0 B50210-0
1813	U1813	B206372 B80198 B132538	B183874-0 B159610-0 B54192-0 B40279-0 B166699-0 B140863-0 B28565-0 B60646-0 B42248-0 B100627-0 B40541-0 B26621-0 B36922-0 B173781-1 B53305-0 B61888-0 B110365-0 B82386-0 B101766-0 B140627-0
1814	U1814	B1576 B63158 B138917	B1787-0 B76269-0 B120633-0 B78846-0 B120700-0 B71381-0 B4610-0 B146678-0 B66711-0 B183360-0 B158113-0 B114583-0 B48034-0 B117656-0 B24929-0 B197960-0 B23613-0 B162782-0 B27541-0 B28078-0
1815	U1815	B106372 B174335 B146248 B106762 B77773 B102892 B98321	B141666-0 B69661-0 B193354-0 B110314-0 B78132-0 B170327-0 B151244-0 B17883-0 B170327-0 B161618-0 B193688-0 B113460-0 B155759-0 B49113-0 B34948-0 B125495-0 B53835-0 B3211-0 B118777-0 B101101-0
1816	U1816	B153818 B102924 B140409 B55578	B32673-0 B87682-0 B59047-0 B162860-0 B69957-0 B187515-0 B62394-0 B62511-0 B103531-0 B205142-0 B109041-0 B25529-0 B103372-0 B29005-0 B185056-0 B203244-0 B47363-0 B171123-0 B43987-0 B37882-0
1817	U1817	B30827 B153447 B131281 B36216	B57371-0 B155170-0 B187005-0 B180483-0 B105468-0 B142592-0 B63948-0 B111293-0 B19987-0 B121991-0 B48787-0 B50210-0 B57846-0 B143694-0 B53153-0 B2247-0 B99511-0 B180399-0 B95048-0 B131356-0
1818	U1818	B130606 B91257 B15410 B38464	B175904-0 B49257-0 B43182-0 B155101-0 B97286-0 B33622-0 B76377-0 B73428-0 B29951-0 B145789-0 B65110-0 B15598-0 B6073-0 B182737-0 B40182-0 B207392-0 B5830-0 B60454-1 B48181-0 B8252-0
1819	U1819	B116586 B211858 B64429 B104903	B183689-0 B13615-0 B80141-0 B132202-0 B23853-0 B100220-0 B164076-0 B98954-0 B145550-0 B160007-0 B169450-0 B69521-0 B105890-0 B9865-0 B204070-0 B100153-0 B9152-0 B119364-0 B40455-0 B29311-0
1820	U1820	B10561 B159032 B207103 B31047	B189546-0 B48707-0 B47302-0 B77536-0 B69113-0 B126214-0 B183146-0 B118593-0 B123206-0 B138133-0 B163636-0 B11339-0 B103903-0 B188423-0 B142379-0 B136222-0 B178779-0 B48156-0 B64384-1 B3130-0
1821	U1821	B128110 B97831 B57164 B74399	B70239-0 B188461-0 B149937-0 B162501-0 B48349-0 B142700-0 B25380-0 B1127-1 B200541-1 B162922-0 B4383-0 B101148-0 B48263-0 B107060-0 B76436-0 B58253-0 B138914-0 B71940-0 B41437-0 B198943-0
1822	U1822	B150777 B161704 B107843 B184417 B20379 B199278 B129846 B62478 B191249 B185777 B76650	B143118-0 B37764-0 B66159-0 B202755-0 B168257-0 B191011-0 B157291-0 B15801-0 B189266-0 B58998-0 B93640-0 B3203-0 B56730-0 B12610-0 B36926-0 B48034-0 B162957-0 B95431-0 B112060-0 B152995-0
1823	U1823	B116128 B54023 B207111 B102621 B35480 B61802	B65260-0 B90828-0 B112017-0 B125615-0 B91787-0 B163344-0 B71978-0 B185305-0 B39358-0 B32826-0 B162501-0 B37721-0 B55868-0 B93244-0 B140913-0 B141973-0 B72600-0 B126882-0 B28266-0 B5614-0
1824	U1824	B199467 B198202 B6746	B173594-0 B127289-0 B50716-0 B192408-0 B48280-0 B183923-0 B149496-0 B95958-0 B145491-0 B199900-0 B158740-0 B186814-0 B184116-0 B76204-0 B140315-0 B8192-0 B101643-0 B7409-0 B170174-0 B148218-0
1825	U1825	B170450 B11797 B18998	B153322-0 B71887-0 B186213-0 B38419-0 B85281-0 B8808-0 B8326-0 B44727-0 B49054-0 B30115-0 B83156-0 B75293-0 B191863-0 B121392-0 B33904-0 B35802-0 B69235-0 B76436-0 B132538-0 B198790-0
