User,Entities
U1106,"['Q1370999', 'Q173540', 'Q43999', 'Q21506826', 'Q179205', 'Q186422', 'Q178790', 'Q3934074', 'Q40050', 'Q1048', 'Q23556', 'Q667', 'Q96611309', 'Q30', 'Q1860', 'Q165947', 'Q178885', 'Q846570']"
U1107,"['Q1763801', 'Q564', 'Q1067', 'Q43070', 'Q5428', 'Q362', 'Q462964', 'Q183', 'Q5599', 'Q7737', 'Q35314']"
U1108,"['Q154037', 'Q80911', 'Q3414877', 'Q590576', 'Q3433884', 'Q2648323', 'Q45581']"
U1109,"['Q3127696', 'Q686223', 'Q720541', 'Q16479886', 'Q105514673', 'Q429571', 'Q1778168', 'Q3417076', 'Q316', 'Q160232', 'Q487612', 'Q164359', 'Q76074', 'Q29485']"
U1110,"['Q6674', 'Q816', 'Q828']"
U1111,"['Q12099', 'Q3302947']"
U1112,"['Q7428195', 'Q699612']"
U1113,"['Q2292977', 'Q364901', 'Q23436']"
U1114,['Q110271724']
U1115,"['Q1064538', 'Q81741']"
U1116,"['Q846570', 'Q154380', 'Q1460859']"
U1117,['Q6928987']
U1118,"['Q132821', 'Q571', 'Q371774', 'Q16090622', 'Q12201665', 'Q217825', 'Q20733923']"
U1119,"['Q282129', 'Q161238', 'Q300867']"
U1120,"['Q188851', 'Q2', 'Q7569']"
U1121,"['Q15079344', 'Q2468262']"
U1122,"['Q21454144', 'Q836925']"
U1123,[]
U1124,"['Q49136', 'Q1321370', 'Q970803', 'Q9035', 'Q2458861', 'Q203960', 'Q4983591', 'Q126695']"
U1125,['Q5580450']
U1126,"['Q131212', 'Q30078516', 'Q3632843', 'Q467', 'Q3333749']"
U1127,"['Q575', 'Q475716']"
U1128,['Q37487643']
U1129,[]
U1130,"['Q106321353', 'Q318', 'Q136469', 'Q842438', 'Q42', 'Q191074']"
U1131,['Q2707688']
U1132,"['Q170241', 'Q1367', 'Q1860', 'Q362104', 'Q34006', 'Q150', 'Q3243128', 'Q1682564', 'Q81903080', 'Q37514243']"
U1133,"['Q83310', 'Q33979', 'Q457977', 'Q5', 'Q48438', 'Q20000520']"
U1134,[]
U1135,"['Q15326', 'Q24265327', 'Q1137326', 'Q8425', 'Q34802249', 'Q982152', 'Q56246178', 'Q2428886']"
U1136,"['Q254458', 'Q89520458', 'Q38572199', 'Q3933467', 'Q16626706', 'Q106968468', 'Q18392185', 'Q136469', 'Q473252']"
U1137,"['Q11423', 'Q112162486', 'Q7108']"
U1138,"['Q14317024', 'Q241625', 'Q132821', 'Q2415420', 'Q11192072', 'Q192776', 'Q236']"
U1139,"['Q827311', 'Q6296982', 'Q30', 'Q18386312']"
U1140,[]
U1141,['Q10437']
U1142,['Q7737670']
U1143,"['Q467', 'Q346047', 'Q847569', 'Q209773']"
U1144,[]
U1145,"['Q645883', 'Q18051389']"
U1146,[]
U1147,"['Q220960', 'Q12053618', 'Q88556', 'Q597711', 'Q13300', 'Q1321', 'Q2801750', 'Q132821']"
U1148,"['Q9852', 'Q9773', 'Q18386312']"
U1149,"['Q23445', 'Q408', 'Q2932609', 'Q231467', 'Q7376362', 'Q21', 'Q183240', 'Q471764', 'Q9922', 'Q1231089', 'Q207544']"
U1150,"['Q214371', 'Q1860', 'Q846570', 'Q7436650']"
U1151,['Q170579']
U1152,"['Q168728', 'Q1762022', 'Q106300300']"
U1153,"['Q172684', 'Q641678', 'Q3047481', 'Q1022973']"
U1154,"['Q1932016', 'Q2170752', 'Q1559603']"
U1155,"['Q131156', 'Q5637282', 'Q4925623', 'Q159758', 'Q36096']"
U1156,"['Q1969448', 'Q191924', 'Q136469']"
U1157,"['Q17635129', 'Q1238249', 'Q509951', 'Q8', 'Q1348']"
U1158,"['Q36998697', 'Q3947', 'Q6749086', 'Q8030695']"
U1159,"['Q6958747', 'Q316', 'Q2809148', 'Q2358152', 'Q59853']"
U1160,"['Q22687', 'Q145', 'Q7406919']"
U1161,"['Q942326', 'Q1017214', 'Q9142', 'Q48438', 'Q21', 'Q1126592', 'Q12829182', 'Q904455', 'Q107092036', 'Q1331589', 'Q217102']"
U1162,"['Q2061869', 'Q953638', 'Q5339810', 'Q30293543', 'Q150225', 'Q2802136']"
U1163,"['Q2110096', 'Q387916', 'Q5128375', 'Q136469', 'Q281928']"
U1164,"['Q1091172', 'Q1860', 'Q48438']"
U1165,"['Q4', 'Q3392', 'Q55796', 'Q170534', 'Q65602723', 'Q16277237', 'Q7518645', 'Q49966912', 'Q33923', 'Q79', 'Q391101', 'Q339714', 'Q13632220', 'Q136469', 'Q206856', 'Q1475036', 'Q328804', 'Q573997', 'Q496098', 'Q52', 'Q1377716', 'Q75941820', 'Q39', 'Q22983846', 'Q2295272', 'Q54128']"
U1166,"['Q397', 'Q1321', 'Q1377840', 'Q583269', 'Q1860', 'Q150', 'Q652', 'Q23482', 'Q41792192', 'Q76074']"
U1167,"['Q254046', 'Q585222', 'Q1475036']"
U1168,"['Q27723897', 'Q116280121', 'Q1326127', 'Q15290', 'Q1369832']"
U1169,['Q25107']
U1170,"['Q10861465', 'Q14125950', 'Q161775', 'Q39524', 'Q574578', 'Q114259102']"
U1171,['Q4880491']
U1172,['Q362']
U1173,[]
U1174,"['Q26843', 'Q1780503']"
U1175,"['Q1145497', 'Q15063044', 'Q5043115']"
U1176,['Q652']
U1177,['Q5684']
U1178,"['Q48438', 'Q19737773']"
U1179,"['Q37462871', 'Q5292', 'Q2095', 'Q282', 'Q38695', 'Q133492']"
U1180,"['Q115741229', 'Q494244']"
U1181,"['Q735', 'Q5628985']"
U1182,[]
U1183,"['Q1003630', 'Q6223', 'Q1216263', 'Q4744322', 'Q16522873', 'Q559014', 'Q1325', 'Q97694308', 'Q585222', 'Q29552', 'Q844791']"
U1184,"['Q10861465', 'Q2483726', 'Q183959', 'Q21452033', 'Q161775', 'Q51649', 'Q827311', 'Q56451931', 'Q33923', 'Q58029', 'Q726124', 'Q840974', 'Q79025']"
U1185,"['Q184303', 'Q165', 'Q659', 'Q19595']"
U1186,"['Q3142', 'Q22676', 'Q15290', 'Q10328269', 'Q1682564', 'Q135035', 'Q449998', 'Q13258171']"
U1187,"['Q1805405', 'Q15290']"
U1188,"['Q82723', 'Q432728', 'Q2607536', 'Q5287', 'Q1778168', 'Q12794966', 'Q267957', 'Q6864170', 'Q7429317', 'Q16969209']"
U1189,"['Q735', 'Q88855553', 'Q784148', 'Q150', 'Q21590660', 'Q46', 'Q42225', 'Q15896847', 'Q7411', 'Q240164', 'Q657222', 'Q152', 'Q42289', 'Q66915394', 'Q4736872']"
U1190,['Q49114']
U1191,"['Q28084844', 'Q125191', 'Q6086452']"
U1192,"['Q6081128', 'Q1343649', 'Q42771']"
U1193,"['Q194112', 'Q5113', 'Q653054', 'Q105624046', 'Q23357', 'Q16', 'Q34366', 'Q766', 'Q271300', 'Q9309', 'Q812', 'Q158856']"
U1194,"['Q7875591', 'Q3228793']"
U1195,"['Q8853', 'Q105960', 'Q44813108', 'Q974', 'Q9145324', 'Q12576']"
U1196,"['Q7323231', 'Q7228768']"
U1197,"['Q27001', 'Q9147', 'Q883305', 'Q1903609', 'Q5686', 'Q104871760', 'Q846570', 'Q189811', 'Q1860']"
U1198,"['Q140', 'Q1616828', 'Q7569', 'Q33923', 'Q14936243', 'Q401836', 'Q183240', 'Q21', 'Q2886622', 'Q19809', 'Q3543591', 'Q762731']"
U1199,"['Q109442873', 'Q28367692', 'Q208045', 'Q1025065']"
U1200,"['Q749311', 'Q575', 'Q7048121']"
U1201,"['Q23434', 'Q10859']"
U1202,['Q145']
U1203,"['Q1618814', 'Q1363802', 'Q729', 'Q34660187', 'Q12767209']"
U1204,"['Q185118', 'Q1788520', 'Q2802136', 'Q3277939', 'Q15868042', 'Q145']"
U1205,"['Q316', 'Q156490', 'Q133500']"
U1206,"['Q313129', 'Q16865687', 'Q16860538', 'Q15243190', 'Q913073', 'Q34433', 'Q16970', 'Q473252']"
U1207,"['Q33979', 'Q420', 'Q1092', 'Q36686094']"
U1208,[]
U1209,"['Q114374750', 'Q2761147', 'Q654810', 'Q467064', 'Q873842']"
U1210,"['Q385494', 'Q1475036', 'Q667', 'Q21506826', 'Q1535240', 'Q42000', 'Q712', 'Q408', 'Q664', 'Q56298613', 'Q3363340']"
U1211,"['Q274167', 'Q16881921']"
U1212,"['Q8409', 'Q87283185', 'Q159', 'Q110998282']"
U1213,"['Q116258888', 'Q16868672', 'Q14759', 'Q1118643', 'Q8436', 'Q5', 'Q16623663', 'Q9174', 'Q11190']"
U1214,"['Q1860', 'Q18156180']"
U1215,"['Q1158485', 'Q499', 'Q16559', 'Q1439', 'Q111046715', 'Q775759', 'Q7542914', 'Q62', 'Q175421']"
U1216,"['Q45581', 'Q21507920', 'Q16868672', 'Q499036', 'Q849706', 'Q470329']"
U1217,"['Q1502100', 'Q209726', 'Q4737989', 'Q18177136', 'Q155964', 'Q21493046']"
U1218,"['Q21584285', 'Q30']"
U1219,"['Q1682564', 'Q85852336', 'Q3131572']"
U1220,"['Q2115', 'Q212327', 'Q2093', 'Q784', 'Q577094', 'Q9798', 'Q186224', 'Q326717', 'Q13417183', 'Q21147751']"
U1221,"['Q4653', 'Q2', 'Q1762298', 'Q187349', 'Q35610']"
U1222,"['Q1886476', 'Q19840849', 'Q36180', 'Q133028', 'Q15989253', 'Q198', 'Q11822', 'Q106782813', 'Q1249148', 'Q55', 'Q160341', 'Q668885', 'Q160337', 'Q437571', 'Q2409583', 'Q163', 'Q2301021', 'Q138311', 'Q116', 'Q18530475', 'Q791456', 'Q16582071', 'Q48438', 'Q168751', 'Q15987281', 'Q75815504', 'Q192776', 'Q278835', 'Q692', 'Q181677', 'Q45875', 'Q577', 'Q642074', 'Q188473', 'Q3481087', 'Q2358152']"
U1223,"['Q14045', 'Q8124', 'Q312720', 'Q9598', 'Q19582298', 'Q235901', 'Q174596']"
U1224,"['Q1187071', 'Q1969978', 'Q605226']"
U1225,"['Q316', 'Q12090', 'Q25352580', 'Q79606705', 'Q63488309']"
U1226,['Q16870036']
U1227,['Q3231621']
U1228,"['Q246693', 'Q345', 'Q2227834', 'Q7243']"
U1229,"['Q1158489', 'Q1470593', 'Q12124775']"
U1230,['Q2468262']
U1231,"['Q162827', 'Q7504324', 'Q132524', 'Q374098', 'Q1642740', 'Q60', 'Q9219']"
U1232,"['Q3414877', 'Q23567', 'Q3541097', 'Q1559603']"
U1233,"['Q3502695', 'Q61468641', 'Q1475036', 'Q208045', 'Q103896', 'Q2633642', 'Q10484', 'Q743309', 'Q3637550', 'Q2715495', 'Q2574811']"
U1234,"['Q36910862', 'Q39631', 'Q1986672', 'Q85486534', 'Q47317437', 'Q409373', 'Q110084']"
U1235,"['Q650689', 'Q3402263', 'Q810', 'Q38082']"
U1236,"['Q7560', 'Q7565']"
U1237,"['Q93312', 'Q21161338']"
U1238,"['Q183046', 'Q1195509', 'Q231043', 'Q36322', 'Q1837775', 'Q19968512', 'Q3056940', 'Q18760860', 'Q51406']"
U1239,['Q974']
U1240,"['Q7457478', 'Q1441305', 'Q2468262', 'Q32504', 'Q723772']"
U1241,"['Q1682564', 'Q16869876', 'Q26746', 'Q585222', 'Q49218', 'Q478240']"
U1242,"['Q1043792', 'Q184785', 'Q35722']"
U1243,"['Q133507', 'Q130881', 'Q19809']"
U1244,"['Q12826225', 'Q686223', 'Q2046310', 'Q892']"
U1245,[]
U1246,"['Q53997851', 'Q37512454', 'Q185061', 'Q5994', 'Q1761169']"
U1247,"['Q7561', 'Q152079']"
U1248,"['Q24659987', 'Q3821802', 'Q39297', 'Q1801787']"
U1249,"['Q106836496', 'Q36279', 'Q118183693', 'Q56210859', 'Q58413364']"
U1250,"['Q93191', 'Q1377716', 'Q4690040', 'Q11167678', 'Q1967074', 'Q1425908', 'Q974', 'Q30', 'Q12819497', 'Q935489', 'Q4705241', 'Q1841', 'Q1929929', 'Q178885', 'Q21146257']"
U1251,"['Q15026', 'Q131272']"
U1252,"['Q4884518', 'Q621114', 'Q556998', 'Q2941163']"
U1253,"['Q2712867', 'Q192039', 'Q659408', 'Q61509', 'Q47191999']"
U1254,['Q2788078']
U1255,"['Q929771', 'Q89819694', 'Q19673', 'Q571']"
U1256,"['Q46721', 'Q8337', 'Q83566']"
U1257,"['Q467515', 'Q774719', 'Q165', 'Q1321', 'Q140412']"
U1258,"['Q58182376', 'Q37427685', 'Q160091', 'Q57743399', 'Q131562', 'Q1145523', 'Q473252']"
U1259,"['Q359385', 'Q132821', 'Q3957', 'Q106465', 'Q357065', 'Q165356', 'Q19809', 'Q16870323', 'Q451967', 'Q7748', 'Q36602', 'Q308984', 'Q495856', 'Q1649', 'Q653368', 'Q4910481', 'Q64683710', 'Q2628553', 'Q2581264', 'Q504339', 'Q30872569', 'Q1181618', 'Q5258432', 'Q1158596', 'Q1664111', 'Q16533', 'Q7430', 'Q30', 'Q8454']"
U1260,['Q106039']
U1261,"['Q52226085', 'Q244490', 'Q8094', 'Q2942178']"
U1262,"['Q4865631', 'Q2008402']"
U1263,"['Q864928', 'Q2']"
U1264,"['Q4656074', 'Q1778168', 'Q7245', 'Q202763', 'Q1058731', 'Q326914', 'Q215410', 'Q2195840', 'Q16970', 'Q715768', 'Q19819765']"
U1265,"['Q4926472', 'Q302']"
U1266,"['Q408', 'Q159', 'Q18', 'Q538', 'Q38863687', 'Q61', 'Q4058325', 'Q148', 'Q2802136', 'Q473252']"
U1267,"['Q406839', 'Q174165']"
U1268,"['Q177053', 'Q6843005', 'Q83896210']"
U1269,['Q110060576']
U1270,"['Q184303', 'Q876933']"
U1271,"['Q31402', 'Q1233720', 'Q84072', 'Q1860', 'Q1196055', 'Q515', 'Q16869', 'Q39018', 'Q239078', 'Q80702', 'Q187346', 'Q7963813', 'Q2344352', 'Q179294', 'Q21296583', 'Q41', 'Q397', 'Q177414', 'Q1003245']"
U1272,"['Q9016816', 'Q11256', 'Q241', 'Q9684', 'Q29', 'Q18685692', 'Q30', 'Q485186', 'Q13415699', 'Q789915', 'Q654527', 'Q846570', 'Q1158535', 'Q2878423', 'Q265810', 'Q11270', 'Q23559', 'Q652', 'Q10859', 'Q23434', 'Q1953290', 'Q29179', 'Q903576', 'Q9592', 'Q1321', 'Q33202682', 'Q40469', 'Q8333', 'Q1111', 'Q1563', 'Q922457', 'Q6131924', 'Q294931', 'Q2348906', 'Q219']"
U1273,"['Q684', 'Q19014', 'Q55800']"
U1274,['Q185118']
U1275,"['Q1026113', 'Q1811998', 'Q38926', 'Q193291', 'Q1639825', 'Q1258373', 'Q101221292']"
U1276,"['Q133346', 'Q945', 'Q874', 'Q794', 'Q424', 'Q31895', 'Q4412', 'Q869', 'Q6501864', 'Q679', 'Q876323']"
U1277,"['Q7245', 'Q36322', 'Q1860', 'Q115958702', 'Q2543105', 'Q3056940', 'Q214677', 'Q180445', 'Q164294', 'Q2370288']"
U1278,"['Q220098', 'Q111']"
U1279,"['Q35323', 'Q1595418']"
U1280,"['Q14566094', 'Q2414350']"
U1281,"['Q729', 'Q131596', 'Q3335', 'Q905865', 'Q734898', 'Q517', 'Q59853', 'Q7582199', 'Q11338576']"
U1282,"['Q14516546', 'Q21484862', 'Q84']"
U1283,['Q1996375']
U1284,"['Q222052', 'Q2', 'Q1711638', 'Q905822', 'Q61509', 'Q33977']"
U1285,"['Q650689', 'Q3402263', 'Q7414', 'Q56008']"
U1286,"['Q20679890', 'Q41', 'Q108', 'Q30', 'Q656154']"
U1287,['Q32843082']
U1288,[]
U1289,"['Q933726', 'Q7873', 'Q1747689', 'Q34006']"
U1290,"['Q33573', 'Q115909150']"
U1291,"['Q385494', 'Q600301', 'Q47231']"
U1292,"['Q511031', 'Q81041', 'Q2130696', 'Q56930201', 'Q111022028', 'Q81516860']"
U1293,"['Q861888', 'Q846570', 'Q30', 'Q61']"
U1294,['Q1277575']
U1295,['Q15707503']
U1296,['Q212789']
U1297,"['Q699405', 'Q46831', 'Q1439', 'Q40021']"
U1298,['Q190007']
U1299,"['Q23436', 'Q100699518', 'Q193291', 'Q11742427', 'Q316', 'Q12894677', 'Q104214094', 'Q7376362', 'Q190', 'Q99441275', 'Q357786', 'Q178885', 'Q302', 'Q7305703', 'Q7565', 'Q262135', 'Q1147295', 'Q55919789', 'Q174546', 'Q1993310', 'Q188225']"
U1300,"['Q2364643', 'Q189', 'Q14936243', 'Q188913', 'Q23442', 'Q14080', 'Q54823953']"
U1301,"['Q23413', 'Q1475036', 'Q170779', 'Q154502', 'Q1860']"
U1302,['Q10673531']
U1303,"['Q1497375', 'Q508291', 'Q5', 'Q7569']"
U1304,"['Q933726', 'Q11438', 'Q220', 'Q41']"
U1305,"['Q168983', 'Q149010', 'Q24229709', 'Q307291']"
U1306,"['Q45199', 'Q10437', 'Q1643098']"
U1307,"['Q671759', 'Q235113']"
U1308,"['Q496818', 'Q49243', 'Q202975']"
U1309,"['Q1304320', 'Q18419', 'Q30']"
U1310,"['Q6958747', 'Q170658', 'Q60137']"
U1311,"['Q49163022', 'Q132041', 'Q35140', 'Q33581813', 'Q2253414', 'Q37029740']"
U1312,"['Q43919', 'Q34038']"
U1313,"['Q2668292', 'Q34404', 'Q80517', 'Q397', 'Q15456099', 'Q822282']"
U1314,"['Q690079', 'Q59916369', 'Q2630093']"
U1315,"['Q7569', 'Q466623', 'Q3832290', 'Q37547416', 'Q4964415']"
U1316,"['Q1397643', 'Q5616767', 'Q37392575']"
U1317,"['Q45529', 'Q289891', 'Q30', 'Q104493', 'Q37151', 'Q48006', 'Q65173475', 'Q362', 'Q148', 'Q7850', 'Q7204', 'Q796']"
U1318,['Q1446181']
U1319,"['Q5783893', 'Q4590598', 'Q5365322', 'Q26736517', 'Q43788']"
U1320,"['Q4224666', 'Q1768667', 'Q7366', 'Q935362', 'Q136469', 'Q49188']"
U1321,"['Q17549077', 'Q302', 'Q6453423']"
U1322,"['Q1418248', 'Q25267467']"
U1323,"['Q10861465', 'Q8171', 'Q106039', 'Q1200048', 'Q178885', 'Q667', 'Q105857729', 'Q3127696', 'Q11640', 'Q5410500', 'Q12470060', 'Q392599', 'Q28198']"
U1324,"['Q1851401', 'Q23397', 'Q15789581']"
U1325,"['Q90', 'Q138311', 'Q358090', 'Q205796', 'Q9035', 'Q16881915', 'Q142', 'Q711821']"
U1326,"['Q7566', 'Q1736582', 'Q1158388', 'Q1994656']"
U1327,"['Q328804', 'Q1853362', 'Q974', 'Q21449112']"
U1328,"['Q110562172', 'Q2008856', 'Q22316', 'Q184469', 'Q881', 'Q864447', 'Q53536543', 'Q846570']"
U1329,"['Q1475036', 'Q11629', 'Q150', 'Q2732713', 'Q145', 'Q156839', 'Q329192', 'Q10494269', 'Q7386141']"
U1330,"['Q26573850', 'Q2131659', 'Q8031719', 'Q1415']"
U1331,[]
U1332,"['Q14404836', 'Q164160', 'Q6818927', 'Q219498']"
U1333,"['Q28180', 'Q302', 'Q430776', 'Q55609521', 'Q80584030']"
U1334,"['Q6294', 'Q1124', 'Q30', 'Q7569', 'Q7565', 'Q532', 'Q60186799', 'Q9616', 'Q232687']"
U1335,"['Q16938807', 'Q17856012', 'Q679', 'Q16479486', 'Q9061', 'Q7272', 'Q43070', 'Q36451', 'Q110907221', 'Q131156']"
U1336,['Q826716']
U1337,"['Q159979', 'Q5532864']"
U1338,"['Q16938807', 'Q2']"
U1339,"['Q14087435', 'Q178561', 'Q7297359', 'Q585222']"
U1340,"['Q1339677', 'Q311733', 'Q235627', 'Q113128346', 'Q173', 'Q537750', 'Q107517605', 'Q723493']"
U1341,"['Q1013', 'Q970202', 'Q21654787', 'Q184116', 'Q19881799', 'Q1613676', 'Q15', 'Q188', 'Q1075929', 'Q846570', 'Q150', 'Q46', 'Q30', 'Q1860', 'Q157322']"
U1342,"['Q837880', 'Q3363340', 'Q711821', 'Q2908080', 'Q1354011', 'Q1124', 'Q9458574']"
U1343,"['Q501351', 'Q132', 'Q846570', 'Q2004615', 'Q458868']"
U1344,"['Q4', 'Q49476', 'Q20899018', 'Q5052491', 'Q846570', 'Q1522', 'Q394067', 'Q862086']"
U1345,"['Q315796', 'Q437917', 'Q846982', 'Q108636', 'Q216188']"
U1346,"['Q18419', 'Q1639825', 'Q1304320', 'Q566893', 'Q16275870', 'Q1158388']"
U1347,"['Q7776211', 'Q498976', 'Q1555938', 'Q2', 'Q47037551', 'Q933', 'Q19100', 'Q12800811', 'Q51', 'Q102527']"
U1348,"['Q1646862', 'Q14317024', 'Q1649', 'Q18385316']"
U1349,"['Q602854', 'Q15989253']"
U1350,"['Q140', 'Q1616828', 'Q106106', 'Q3884', 'Q9204', 'Q1768667', 'Q2886622', 'Q762731', 'Q6453423']"
U1351,"['Q650689', 'Q3402263', 'Q15290']"
U1352,"['Q8436', 'Q7301069', 'Q838984', 'Q283597', 'Q2743830', 'Q42295', 'Q59325993', 'Q9960', 'Q37268322']"
U1353,['Q464732']
U1354,"['Q9147', 'Q1860', 'Q3056940']"
U1355,['Q4925623']
U1356,"['Q2564009', 'Q113925598', 'Q42884', 'Q320514', 'Q8473', 'Q352', 'Q7737', 'Q80240', 'Q21', 'Q165765', 'Q161168', 'Q36993550', 'Q154470', 'Q236', 'Q17654350']"
U1357,"['Q54869041', 'Q58482603', 'Q106039', 'Q12826225']"
U1358,['Q133957']
U1359,"['Q181923', 'Q7560']"
U1360,"['Q10894720', 'Q1475036', 'Q41079', 'Q83975698', 'Q83656', 'Q8495', 'Q19081', 'Q15789581', 'Q27713601', 'Q6608367', 'Q156901', 'Q846570', 'Q180099']"
U1361,['Q49084']
U1362,"['Q2090092', 'Q16865878', 'Q191118']"
U1363,"['Q18419', 'Q5684387', 'Q273730', 'Q176694', 'Q30', 'Q9142', 'Q56244637']"
U1364,['Q26214163']
U1365,"['Q14208553', 'Q3884', 'Q9268', 'Q17830896', 'Q190', 'Q1156970', 'Q178885', 'Q7504540']"
U1366,"['Q238053', 'Q50598', 'Q47682281', 'Q13138161', 'Q90', 'Q9418', 'Q546054', 'Q36972845', 'Q145', 'Q7953', 'Q473252']"
U1367,"['Q4489450', 'Q430699', 'Q5686', 'Q6503489', 'Q676', 'Q63899122', 'Q700529']"
U1368,['Q74359']
U1369,[]
U1370,['Q119544251']
U1371,"['Q194281', 'Q18336566']"
U1372,"['Q1062504', 'Q211629', 'Q863953', 'Q515329']"
U1373,"['Q165278', 'Q1158485', 'Q685884', 'Q6607']"
U1374,"['Q4', 'Q235113']"
U1375,"['Q1510380', 'Q16868672', 'Q96323974', 'Q161775', 'Q4224666']"
U1376,['Q21']
U1377,"['Q43627', 'Q1406', 'Q36649', 'Q3090198', 'Q57743399']"
U1378,"['Q2095549', 'Q55800']"
U1379,[]
U1380,"['Q29485', 'Q142', 'Q150']"
U1381,"['Q65771779', 'Q42332', 'Q39517', 'Q370308']"
U1382,"['Q1083272', 'Q33973']"
U1383,"['Q65359104', 'Q1249148', 'Q467', 'Q51156708', 'Q12826225', 'Q1854516', 'Q11887313']"
U1384,['Q743309']
U1385,"['Q2095', 'Q443852', 'Q49114', 'Q70603824']"
U1386,"['Q191107', 'Q340152']"
U1387,"['Q54834134', 'Q23556']"
U1388,"['Q3602993', 'Q212168', 'Q12133856', 'Q29533192', 'Q1616828', 'Q59774', 'Q178885']"
U1389,"['Q83310', 'Q48438', 'Q20000520', 'Q4821948']"
U1390,['Q781770']
U1391,"['Q237514', 'Q863953', 'Q194281', 'Q1261', 'Q7287876']"
U1392,['Q35064']
U1393,"['Q2095183', 'Q237555', 'Q243519', 'Q954007', 'Q380640']"
U1394,"['Q108140545', 'Q2294929', 'Q37079', 'Q1860']"
U1395,"['Q2531764', 'Q40']"
U1396,"['Q105836543', 'Q16385868', 'Q3294002']"
U1397,"['Q637849', 'Q3702771', 'Q5090', 'Q46721']"
U1398,"['Q590252', 'Q20', 'Q333719']"
U1399,"['Q19801119', 'Q9309', 'Q844837']"
U1400,"['Q2468262', 'Q87016295']"
U1401,['Q2569696']
U1402,"['Q164160', 'Q43297', 'Q4470', 'Q810', 'Q892']"
U1403,"['Q18569', 'Q1853362', 'Q328817', 'Q69488', 'Q16402', 'Q523191']"
U1404,"['Q2747456', 'Q2325674', 'Q1768667', 'Q2886622', 'Q3884', 'Q6453423', 'Q16193720', 'Q385494', 'Q149010', 'Q140', 'Q1616828', 'Q106106', 'Q1535240', 'Q218950', 'Q208045', 'Q692', 'Q5084', 'Q2002477', 'Q762731', 'Q183240', 'Q178885', 'Q1997439', 'Q539051', 'Q239078', 'Q302', 'Q2070438', 'Q322732', 'Q27590047', 'Q28754', 'Q8', 'Q2267287', 'Q5242528', 'Q1090', 'Q485093', 'Q862645', 'Q256', 'Q12082898', 'Q729', 'Q38549437', 'Q44294', 'Q542704', 'Q107724506', 'Q35230', 'Q30', 'Q37573905', 'Q51459993', 'Q18915235', 'Q1798473', 'Q378243', 'Q5436441', 'Q2092297', 'Q4104', 'Q2714871', 'Q14907064', 'Q95678157']"
U1405,"['Q128267', 'Q1639825', 'Q6173', 'Q302']"
U1406,"['Q9696', 'Q683', 'Q145', 'Q103859137', 'Q311263', 'Q217']"
U1407,"['Q204433', 'Q8355', 'Q114551758']"
U1408,"['Q2796032', 'Q106740', 'Q238526', 'Q1538721', 'Q207234']"
U1409,['Q178885']
U1410,"['Q10437', 'Q787916', 'Q19967528', 'Q272015', 'Q3418998', 'Q106782813']"
U1411,[]
U1412,"['Q238629', 'Q88616769']"
U1413,"['Q162827', 'Q7307', 'Q150225', 'Q207841']"
U1414,['Q21450908']
U1415,"['Q22096098', 'Q58588320', 'Q83959173', 'Q203775', 'Q190258']"
U1416,['Q74359']
U1417,"['Q145', 'Q51883323', 'Q231043', 'Q5686', 'Q219552', 'Q94541277']"
U1418,"['Q14045', 'Q8124', 'Q16276646', 'Q19582298', 'Q174596', 'Q69339', 'Q43919', 'Q48226', 'Q131149', 'Q82925', 'Q204170', 'Q183403', 'Q2630009', 'Q9181', 'Q3155257', 'Q7166594', 'Q30', 'Q4756786', 'Q9147', 'Q432139', 'Q60', 'Q235901', 'Q726686', 'Q80228', 'Q207191', 'Q1456', 'Q106231', 'Q319630', 'Q352', 'Q43070', 'Q1316', 'Q876323', 'Q846570', 'Q4985']"
U1419,"['Q18461475', 'Q46248', 'Q3257270']"
U1420,"['Q15026', 'Q131272']"
U1421,"['Q10943095', 'Q585222']"
U1422,"['Q739428', 'Q28754']"
U1423,"['Q184299', 'Q313697']"
U1424,"['Q49233', 'Q2']"
U1425,"['Q170534', 'Q35064', 'Q49005', 'Q514797', 'Q203', 'Q251868', 'Q193531', 'Q132821', 'Q777062', 'Q571']"
U1426,"['Q13300', 'Q309', 'Q58666455', 'Q7573215', 'Q301372', 'Q1012688', 'Q12542']"
U1427,"['Q20671646', 'Q384188', 'Q810', 'Q14639649', 'Q481809']"
U1428,"['Q4', 'Q641', 'Q37030', 'Q9676', 'Q1724915']"
U1429,[]
U1430,"['Q5375389', 'Q50486645', 'Q180857', 'Q4394477', 'Q1250464', 'Q397', 'Q6496129', 'Q24251425']"
U1431,"['Q16938807', 'Q2', 'Q164597', 'Q1845', 'Q1753037', 'Q106039', 'Q178885']"
U1432,"['Q677', 'Q41775', 'Q142', 'Q113020160']"
U1433,"['Q1492998', 'Q927511']"
U1434,"['Q485953', 'Q3010', 'Q2360806', 'Q210059', 'Q1075929', 'Q107228524', 'Q4743904', 'Q84', 'Q27655344', 'Q9820', 'Q1357', 'Q332428', 'Q855228']"
U1435,[]
U1436,[]
U1437,"['Q799', 'Q3152967', 'Q354867', 'Q6423963', 'Q193291', 'Q774228', 'Q2000125', 'Q106039', 'Q183245', 'Q48006']"
U1438,['Q896910']
U1439,"['Q504491', 'Q296256', 'Q131512']"
U1440,"['Q1404101', 'Q12826225', 'Q19866947', 'Q892', 'Q132311']"
